OpenTime,XMR-USD_Open,XMR-USD_High,XMR-USD_Low,XMR-USD_Close,XMR-USD_Volume,CloseTime,%K,%D,rsi,macd
2021-07-06 04:00:00,217.01,217.01,216.7,216.73,28.78684,2021-07-06 04:00:59.999,64.4067796610158,81.35593220338923,57.787174457053396,0.04225572043884884
2021-07-06 04:01:00,216.77,216.87,216.77,216.87,2.91361,2021-07-06 04:01:59.999,76.27118644067801,76.2711864406772,60.5391812091601,0.030372007612007146
2021-07-06 04:02:00,216.83,216.85,216.74,216.79,9.86391,2021-07-06 04:02:59.999,69.49152542372784,70.05649717514055,58.204082961362694,0.01420740571112894
2021-07-06 04:03:00,216.74,216.77,216.6,216.64,12.92519,2021-07-06 04:03:59.999,54.86725663716625,66.87665616719069,53.998409602263536,-0.008292617403086372
2021-07-06 04:04:00,216.63,217.34,216.63,217.22,380.09532,2021-07-06 04:04:59.999,90.90909090909052,71.75595765666154,64.63829034518433,0.013021723734197743
2021-07-06 04:05:00,217.25,217.25,216.97,217.07,35.43901,2021-07-06 04:05:59.999,75.89285714285633,73.88973489637102,60.72637693325315,0.014064152847072103
2021-07-06 04:06:00,217.06,217.15,216.97,216.99,36.88193,2021-07-06 04:06:59.999,52.70270270270405,73.16821691821697,58.686422713750915,0.0067810757966206
2021-07-06 04:07:00,217.04,217.34,217.04,217.28,26.53989,2021-07-06 04:07:59.999,91.89189189189169,73.49581724581735,63.47616470680005,0.01825860387764061
2021-07-06 04:08:00,217.37,217.67,217.33,217.49,18.86631,2021-07-06 04:08:59.999,83.17757009345985,75.92405489601852,66.50454991717031,0.03574621665708261
2021-07-06 04:09:00,217.5,217.54,217.33,217.39,21.63138,2021-07-06 04:09:59.999,73.8317757009343,82.96707922876193,63.792068244416974,0.03621915589005309
2021-07-06 04:10:00,217.35,217.35,217.13,217.34,63.68771,2021-07-06 04:10:59.999,69.15887850467419,75.38940809968945,62.42117980382605,0.029111167525184944
2021-07-06 04:11:00,217.35,217.35,217.11,217.15,5.81866,2021-07-06 04:11:59.999,51.4018691588799,64.7975077881628,57.37538778640477,0.008623389930640546
2021-07-06 04:12:00,217.15,217.3,217.09,217.26,14.40939,2021-07-06 04:12:59.999,61.68224299065428,60.74766355140279,59.42054792164128,-5.0932492223543235e-05
2021-07-06 04:13:00,217.23,217.29,217.17,217.2,14.28023,2021-07-06 04:13:59.999,56.074766355140014,56.3862928348914,57.7917180261904,-0.01171497452659892
2021-07-06 04:14:00,217.23,217.38,217.14,217.25,30.83304,2021-07-06 04:14:59.999,60.74766355140279,59.50155763239903,58.80512913975371,-0.0175948227190712
2021-07-06 04:15:00,217.27,217.38,217.27,217.28,35.30735,2021-07-06 04:15:59.999,63.55140186915992,60.124610591900904,59.43446307397575,-0.02077727002797103
2021-07-06 04:16:00,217.28,217.34,217.02,217.14,48.12688,2021-07-06 04:16:59.999,50.46728971962575,58.255451713396155,55.196646444812295,-0.03290385682151442
2021-07-06 04:17:00,217.14,217.31,217.1,217.25,5.18354,2021-07-06 04:17:59.999,59.61538461538551,57.878025401390396,57.74594966913903,-0.03397135074939836
2021-07-06 04:18:00,217.25,217.27,217.16,217.16,4.15306,2021-07-06 04:18:59.999,27.14285714285726,45.741843825956174,54.98904555056899,-0.04073736490720545
2021-07-06 04:19:00,217.21,217.4,217.21,217.39,17.44744,2021-07-06 04:19:59.999,59.99999999999919,48.919413919413984,60.21631781406055,-0.030205914387321287
